"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","EXTERNAL","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"WPGK","2012-01-01T00:00:00","26.10","-75.20",,,"1","6","0","0","3","5",,"1",,"0","350","4","46",,"98","2","0","10210","4","0","3","239","0","211",,"200","1","267","3","3","8",,"4","0","0",,"5","3",,,,"242","65","992","114","5","1","2","1","111111","111111111111A1",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"ZCDY2","2012-01-01T00:00:00","22.30","-71.30",,,"1","6","0","0","3","5",,"1",,"0","290","4","62",,"98","2","0","10241","2","10","0","254",,,,"204","1","240","0","0","0",,"9","0","0",,"2","2",,,,"242","21","992","114","5","1","2","1","111111","1111111A1111A1",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"41611","2012-01-01T00:06:00","26.23","-75.34",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"229",,,,,,,,,,,,,,"242","65","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-01T00:08:00","23.09","-72.91",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"262",,,,,,,,,,,,,,"242","32","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41945","2012-01-01T00:10:00","28.33","-73.01",,,"1","3","2","5",,,,"3",,,,,,,,,,"10227",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","83","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-01T00:10:00","22.27","-71.91",,,"1","3","2","5",,,,"3",,,,,,,,,,"10214",,,"3",,,,,,,"256",,,,,,,,,,,,,,"242","21","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-01T00:11:00","26.71","-76.27",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"239",,,,,,,,,,,,,,"242","66","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41999","2012-01-01T00:11:00","28.79","-70.47",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"232",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-01T00:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5","319","8","40",,,,,"10224",,,"0","223",,,,,,"236",,,,,,,,,"5","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-01T00:20:00","29.05","-73.77",,,"1","3","2","5",,,,"3",,,,,,,,,,"10232",,,"3",,,,,,,"225",,,,,,,,,,,,,,"242","93","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41959","2012-01-01T00:20:00","27.73","-73.63",,,"1","3","2","5",,,,"3",,,,,,,,,,"10220",,,"3",,,,,,,"221",,,,,,,,,,,,,,"242","73","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41961","2012-01-01T00:20:00","28.24","-70.70",,,"1","3","2","5",,,,"3",,,,,,,,,,"10229",,,"3",,,,,,,"236",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41915","2012-01-01T00:30:00","29.60","-72.35",,,"1","3","2","5",,,,"3",,,,,,,,,,"10226",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","92","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-01T00:40:00","27.08","-76.55",,,"1","3","2","5",,,,"3",,,,,,,,,,"10229",,,"3",,,,,,,"245",,,,,,,,,,,,,,"242","76","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-01T00:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"5","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-01T00:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,"14","7","2",,,,"242","71","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-01T01:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","320","1","40",,,,,"10227",,,"9","223",,,,,"1","237",,,,,,,,,,,,,,"242","88","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-01T01:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","200","1","10",,,,,"10236",,,"9","244",,,,,"1","254",,,,,,,,,,,,,,"242","71","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HXC9","2012-01-01T01:00:00","26.10","-79.10",,,"1","6","0","0","1","5",,"1",,"0","60","4","62",,"98",,"0","10200","2","20","0","230","0","146",,"82","1","263","2","2","7",,"5","0","0",,,,,,,"242","69","992","114","5","1","2","1","111112","111A1111111AA1",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"C6PZ8","2012-01-01T01:00:00","25.60","-77.50",,,"1","6","0","0","3","2",,"1",,"0","70","4","87",,,,,"10240","4",,"3","210","0","190",,"180","1","250","0",,,,"A",,,,,,,,,"242","57","992","114","5","1","2","1","111111","11AAA111111AA7",,,,,,"1",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-01T01:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","83","8","28",,,,,"10231",,,"0","218",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"1","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZCDY2","2012-01-01T01:00:00","22.10","-71.00",,,"1","6","0","0","3","4",,"1",,"0","260","4","139",,"98","2","0","10246","1","10","0","256",,,,"221","1","260","0","0","0",,"9","0","0",,"2","2",,,,"242","21","992","114","5","1","2","1","115111","1111111A1111A1",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"ZCEE2","2012-01-01T01:00:00","21.50","-70.80",,,"1","6","0","0","2","3",,"1","GB","0","80","3","108","0","98","2","0","10195","3","11","0","258","0","229","1","215","1","260","1",,"1","0","4","0","0",,,,,,,"242","10","926","112","5","1","0","1","111111","11111111111AA1",,,"4","1","8","1","0",,,,,,,,,,,,,"4",,,"9","11111111119999111111","5",,,,,,,
"41611","2012-01-01T01:06:00","26.23","-75.35",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"229",,,,,,,,,,,,,,"242","65","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-01T01:08:00","23.13","-72.93",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"262",,,,,,,,,,,,,,"242","32","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41999","2012-01-01T01:08:00","28.81","-70.46",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"232",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-01T01:09:00","26.71","-76.29",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"238",,,,,,,,,,,,,,"242","66","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41945","2012-01-01T01:10:00","28.32","-73.01",,,"1","3","2","5",,,,"3",,,,,,,,,,"10230",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","83","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41961","2012-01-01T01:10:00","28.25","-70.67",,,"1","3","2","5",,,,"3",,,,,,,,,,"10231",,,"3",,,,,,,"236",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-01T01:10:00","22.26","-71.90",,,"1","3","2","5",,,,"3",,,,,,,,,,"10216",,,"3",,,,,,,"256",,,,,,,,,,,,,,"242","21","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-01T01:14:00","26.23","-75.35",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"229",,,,,,,,,,,,,,"242","65","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-01T01:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"5","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-01T01:20:00","29.05","-73.77",,,"1","3","2","5",,,,"3",,,,,,,,,,"10234",,,"3",,,,,,,"225",,,,,,,,,,,,,,"242","93","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41959","2012-01-01T01:20:00","27.72","-73.63",,,"1","3","2","5",,,,"3",,,,,,,,,,"10226",,,"3",,,,,,,"221",,,,,,,,,,,,,,"242","73","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41915","2012-01-01T01:30:00","29.59","-72.35",,,"1","3","2","5",,,,"3",,,,,,,,,,"10228",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","92","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-01T01:40:00","27.09","-76.56",,,"1","3","2","5",,,,"3",,,,,,,,,,"10233",,,"3",,,,,,,"244",,,,,,,,,,,,,,"242","76","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-01T01:45:00","23.13","-72.93",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"262",,,,,,,,,,,,,,"242","32","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41999","2012-01-01T01:45:00","28.82","-70.45",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"232",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-01T01:48:00","26.71","-76.30",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"238",,,,,,,,,,,,,,"242","66","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-01T01:49:00","26.23","-75.35",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","65","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-01T01:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"5","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-01T01:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,"13","7","2",,,,"242","71","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-01T02:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","320","1","20",,,,,"10232",,,"9","222",,,,,"1","236",,,,,,,,,,,,,,"242","88","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-01T02:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","190","1","10",,,,,"10238",,,"9","242",,,,,"1","254",,,,,,,,,,,,,,"242","71","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HJB9","2012-01-01T02:00:00","24.90","-79.60",,,"1","6","0","0","1","4",,"1",,"0","90","4","87",,"98","2","0","10240","1","10","0","224","0","214",,"210","3","258","2","2","1",,"7","8","5",,"4","4",,,,"242","49","992","114","5","1","2","1","111111","111111111111A1",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"9HXC9","2012-01-01T02:00:00","26.00","-78.60",,,"1","6","0","0","2","5",,"1",,"0","50","4","62",,"97",,,"10210","2","10","0","221","1","190",,"174","3","260","1","0","A",,"9","A","A",,"7","2",,,,"242","68","992","114","5","1","2","1","111111","111AA1111111A1",,,,,,"1",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-01T02:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","79","8","29",,,,,"10234",,,"0","217",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"1","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZCDY2","2012-01-01T02:00:00","21.90","-70.80",,,"1","6","0","0","3","4",,"1",,"0","90","4","103",,"98","2","0","10248","2","10","0","255",,,,"218","1","260","0","0","0",,"9","0","0",,"2","2",,,,"242","10","992","114","5","1","2","1","111131","1111111A1111A1",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"41945","2012-01-01T02:10:00","28.32","-73.01",,,"1","3","2","5",,,,"3",,,,,,,,,,"10232",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","83","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-01T02:10:00","22.26","-71.90",,,"1","3","2","5",,,,"3",,,,,,,,,,"10220",,,"3",,,,,,,"256",,,,,,,,,,,,,,"242","21","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-01T02:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"5","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-01T02:20:00","29.06","-73.78",,,"1","3","2","5",,,,"3",,,,,,,,,,"10237",,,"3",,,,,,,"225",,,,,,,,,,,,,,"242","93","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41959","2012-01-01T02:20:00","27.72","-73.63",,,"1","3","2","5",,,,"3",,,,,,,,,,"10229",,,"3",,,,,,,"221",,,,,,,,,,,,,,"242","73","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41961","2012-01-01T02:20:00","28.27","-70.65",,,"1","3","2","5",,,,"3",,,,,,,,,,"10233",,,"3",,,,,,,"236",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41915","2012-01-01T02:30:00","29.59","-72.34",,,"1","3","2","5",,,,"3",,,,,,,,,,"10231",,,"3",,,,,,,"228",,,,,,,,,,,,,,"242","92","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-01T02:40:00","27.10","-76.56",,,"1","3","2","5",,,,"3",,,,,,,,,,"10235",,,"3",,,,,,,"245",,,,,,,,,,,,,,"242","76","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-01T02:44:00","26.24","-75.36",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"230",,,,,,,,,,,,,,"242","65","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-01T02:45:00","23.13","-72.93",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"262",,,,,,,,,,,,,,"242","32","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41999","2012-01-01T02:46:00","28.83","-70.44",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"235",,,,,,,,,,,,,,"242","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-01T02:50:00","23.15","-72.94",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"262",,,,,,,,,,,,,,"242","32","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-01T02:50:00","26.71","-76.31",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"238",,,,,,,,,,,,,,"242","66","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-01T02:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5","335","8","15",,,,,"10236",,,"0","222",,,,,,"236",,,,,,,,,"5","2",,,,"242","88","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-01T02:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5","361","8","0",,,,,"10239",,,"0","241",,,,,,"254",,,,,,,,"12","8","2",,,,"242","71","883","121","6","1","0","1","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-01T02:50:00","26.24","-75.35",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"230",,,,,,,,,,,,,,"242","65","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-01T03:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","340","1","20",,,,,"10236",,,"9","222",,,,,"1","236",,,,,,,,,,,,,,"242","88","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-01T03:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","361","1","0",,,,,"10239",,,"9","241",,,,,"1","254",,,,,,,,,,,,,,"242","71","700","146","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
